id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
412,Quiet private room,90201,Sarah,Staten island,St. George,40.64319,-74.02913,Shared room,222,1,63,7/6/2018,0.1,12,10
378,,72716,Sarah,Queens,Flushing,40.79262,-73.80627,Entire home/apt,261,1000,66,1/26/2014,2.84,20,28
438,,73459,Sarah,Manhattan,East Village,40.56317,-73.74698,Entire Home/Apt,152,365,149,12/24/2012,9.02,4,252
942,  Spacious 2BR  ,87446,,queens,Flushing,40.59055,-73.92019,Private room,455,365,120,10/26/2014,1.52,18,57
18,Quiet private room,6229,Chris,Staten island,St. George,40.55962,-74.08559,Entire home/apt,482,5,298,3/14/2019,0.43,12,186
420,,77614,James,Brooklyn,??,40.75495,-73.99749,PRIVATE ROOM,493,7,246,3/8/2018,7.97,14,30
27,,29043,Michael,Manhatan,Upper West Side,40.78542,-74.0062,entire home/apt,170,5,163,2/5/2019,2.32,3,355
723,Quiet private room,72040,Sofia,bronx,Concourse,40.57443,-73.98477,PRIVATE ROOM,283,1000,31,3/17/2018,0.8,19,101
813,  Spacious 2BR  ,34423,John,Staten Island,tyt,40.63771,-73.93819,Entire Home/Apt,452,1000,210,5/8/2015,8.56,20,63
373,Cozy apartment near park,18332,Anna,queens,Elmhurst,40.73929,-73.8007,Shared room,373,1,2,20/09/2015,3.03,18,202
774,,46243,John, Queens,Flushing,40.74017,-73.91211,Private room,490,1,351,11/23/2014,4.53,12,11
400,Sunny room in the heart of NYC,54558,Lisa,bronx,Concourse,40.71166,-73.82221,Entire Home/Apt,390,30,242,12/6/2011,3.7,4,60
35,  Spacious 2BR  ,85659,Daniel,QUEENS,Flushing,40.72232,-73.89335,Shared room,389,2,43,14/12/2014,5.56,16,123
54,Modern studio,71701,Olivia,Manhatan,Midtown,40.62357,-73.92367,Entire Home/Apt,351,1000,186,10/2/2013,7.48,12,89
964,Modern studio,86809,Emma,QUEENS,Astoria,40.77985,-74.07969,Entire home/apt,243,5,56,4/28/2016,9.31,19,177
114,Cozy apartment near park,5400,Maria,The Bronx,Concourse,40.61026,-73.72504,PRIVATE ROOM,265,1,16,10/25/2017,2.41,15,34
563,Sunny room in the heart of NYC,97029,,QUEENS,Ridgewood,40.84081,-74.03633,private room,ks,1,340,22/08/2012,3.24,8,118
141,Cozy apartment near park,49085,Daniel,Brooklyn,Williamsburg,40.61547,-73.7877,Shared room,0,1000,380,9/17/2018,5.73,18,137
889,,71800,Robert,Manhattan,East Village,40.75614,-74.00549,PRIVATE ROOM,467,365,73,3/11/2014,3.64,7,125
963,Beautiful loft,88406,Emma, Queens,Elmhurst,40.50952,-73.81317,Entire home/apt,120,5,119,5/23/2016,6.83,5,0
490,,78189,Maria,staten island,Stapleton,40.64543,-73.97826,Entire home/apt,159,1,342,11/18/2011,3.32,17,185
749,Cozy apartment near park,66717,Robert,bronx,Fordham,40.55802,-73.96334,Shared room,470,1,293,4/27/2013,3.97,18,214
687,Sunny room in the heart of NYC,14582,,bronx,Concourse,40.78467,-73.73412,private room,$131 ,7,134,12/11/2013,3.54,10,68
656,,32868,Sofia,manhattan,Chelsea,40.81637,-73.96973,Shared room,42,365,378,4/20/2014,4.41,6,140
390,Quiet private room,16818,Emma,staten island,Tompkinsville,40.64351,-73.99568,Private room,54,1,89,1/26/2019,3.38,18,58
495,Sunny room in the heart of NYC,49380,Sofia,Manhatan,Harlem,40.55319,-73.75065,Entire Home/Apt,482,1,328,4/18/2014,0.02,11,177
707,Quiet private room,58741,,queens,Flushing,40.65201,-73.72127,entire home/apt,$359 ,365,32,3/21/2014,3.37,3,224
396,Cozy apartment near park,84320,John, Queens,Long Island City,40.79004,-73.80398,Shared room,305,1,266,5/7/2019,5.12,6,159
954,Beautiful loft,64632,David,Staten Island,Stapleton,40.58451,-74.0456,Shared room,57,30,90,3/18/2019,3.29,17,388
221,Modern studio,30269,David,Brooklyn,Kensington,40.73156,-73.79232,PRIVATE ROOM,45,2,18,5/18/2019,,19,76
260,,82962,Sofia,BRONX,Fordham,40.58636,-73.89221,Entire Home/Apt,$185 ,1,371,9/13/2014,1.94,6,336
627,Beautiful loft,56277,Michael,manhattan,East Village,40.53714,-73.94637,Private room,0,1,217,10/5/2013,6.76,6,246
75,Sunny room in the heart of NYC,97832,Chris,brooklyn,Bushwick,40.55158,-73.81647,Shared room,387,1,158,21/07/2019,8.13,17,343
165,,46093,Michael,Staten island,Tompkinsville,40.57978,-73.74614,Entire home/apt,$226 ,365,127,1/13/2019,3.6,19,278
921,Quiet private room,29108,Lisa,bronx,Fordham,40.56054,-73.70499,entire home/apt,162,365,227,7/1/2012,8.33,4,45
169,,91906,Maria,BROOKLYN,Kensington,40.54041,-73.97929,Shared room,369,1,80,11/16/2017,3.18,20,362
757,Beautiful loft,16216,David,Manhattan,East Village,40.80899,-74.08245,PRIVATE ROOM,364,1,114,19/11/2016,2.3,4,227
380,  Spacious 2BR  ,68284,Chris,BROOKLYN,Greenpoint,40.60739,-73.85986,Private room,483,1,387,6/20/2017,,11,218
596,,54609,James,staten island,Stapleton,40.80947,-73.9065,Entire home/apt,kjks,30,307,11/8/2017,2.92,2,259
464,Cozy apartment near park,14970,Robert, Queens,Ridgewood,40.57594,-73.94474,Entire Home/Apt,13111,7,163,11/26/2016,5.2,13,308
959,Cozy apartment near park,20842,Michael,Queens,Long Island City,40.58871,-74.02673,Shared room,369,30,151,12/12/2014,2.57,14,123
990,,35825,Sarah,Manhatan,Chelsea,40.57269,-73.75862,private room,184,2,6,5/5/2018,3.69,6,301
488,Quiet private room,84009,,bronx,Mott Haven,40.57687,-74.04152,Entire home/apt,49,1,315,2/28/2014,3.81,8,268
340,Sunny room in the heart of NYC,84435,Chris,staten island,Stapleton,40.83383,-73.97843,entire home/apt,0,365,378,4/1/2018,1.55,16,153
325,  Spacious 2BR  ,29369,Olivia,staten island,Tompkinsville,40.74145,-73.78418,Private room,142,1000,87,3/4/2019,8.57,19,250
348,,15067,Michael,Bronx,Mott Haven,40.80161,-74.09827,Entire Home/Apt,174,1,109,16/12/2019,6.98,6,94
233,  Spacious 2BR  ,8531,Emma,Brooklyn,Williamsburg,40.60524,-73.95167,entire home/apt,$252 ,1000,19,7/20/2017,5.21,6,364
171,Cozy apartment near park,15160,Michael,Queens,Long Island City,40.88523,-73.77134,Shared room,115,5,228,5/7/2011,6.93,1,179
111,,41392,James, Queens,Astoria,40.85956,-73.92181,Entire Home/Apt,328,1,232,14/09/2013,,1,286
994,Beautiful loft,83483,Olivia,queens,Long Island City,40.66012,-73.97043,entire home/apt,97,2,99,4/1/2018,9.11,12,330
535,Sunny room in the heart of NYC,74525,,Manhatan,Harlem,40.58551,-73.87301,Entire home/apt,35,5,119,13/02/2019,6.02,9,269
58,Cozy apartment near park,85518,Michael,MANHATTAN,Harlem,40.6119,-73.82389,PRIVATE ROOM,238,kjsk,227,28/04/2018,1,12,351
337,Beautiful loft,48325,Sofia,manhattan,Chelsea,40.77083,-73.71695,Private room,75570,365,201,8/11/2014,6.05,13,28
7,Quiet private room,40117,David,Brooklyn,Greenpoint,40.6174,-74.03674,PRIVATE ROOM,358,1,369,9/25/2015,5.08,17,54
628,Modern studio,56372,Michael,Bronx,Concourse,40.76235,-73.93821,PRIVATE ROOM,381,1,82,3/19/2016,3.85,2,468
139,Beautiful loft,85575,Emma,Bronx,Mott Haven,40.64932,-74.04346,Shared room,$186 ,7,214,13/10/2013,1.87,6,325
164,Modern studio,81868,,brooklyn,Greenpoint,40.65309,-73.92933,entire home/apt,232,5,109,9/5/2013,8.84,8,17
829,Sunny room in the heart of NYC,82899,Michael,Bronx,Riverdale,40.71956,-73.76876,private room,162,1,218,4/5/2018,6.99,15,45
319,Cozy apartment near park,11580,David,Brooklyn,Bushwick,40.72136,-73.92454,Private room,116,1000,20,2/26/2013,6.13,1,490
831,Modern studio,99635,David,MANHATTAN,Harlem,40.5229,-73.84766,entire home/apt,305,1000,13,11/6/2013,6.73,10,258
44,Cozy apartment near park,61552,Maria,Staten island,St. George,40.88807,-73.93833,entire home/apt,159,365,0,,,14,336
557,Beautiful loft,98048,Maria,BROOKLYN,Greenpoint,40.63252,-74.07565,Entire home/apt,319,msajks,345,12/23/2019,7.02,16,264
64,,30392,Olivia,BROOKLYN,Kensington,40.66917,-73.73366,entire home/apt,370,1,147,6/4/2015,5.08,4,79
587,Beautiful loft,63535,Sofia,bronx,Riverdale,40.73659,-73.85335,Entire home/apt,452,1,37,8/14/2016,4.5,5,223
902,Cozy apartment near park,35217,,Bronx,Concourse,40.84479,-74.09105,Entire Home/Apt,73,2,66,5/17/2013,9.45,6,54
39,  Spacious 2BR  ,69494,,Brooklyn ,Bedford-Stuyvesant,40.55968,-73.87486,Entire home/apt,$381 ,3,43,18/02/2014,6.07,13,316
329,Beautiful loft,93974,Lisa,BROOKLYN,Kensington,40.52063,-73.94682,private room,375,30,316,6/12/2011,6.49,7,360
460,Cozy apartment near park,69164,David,BROOKLYN,Bedford-Stuyvesant,40.81758,-73.96067,Private room,234,30,337,13/12/2012,6.08,19,364
298,Cozy apartment near park,19208,Daniel,The Bronx,Riverdale,40.88235,-74.07216,private room,257,1,350,6/16/2017,6.61,19,46
976,  Spacious 2BR  ,21260,,Brooklyn ,Greenpoint,40.89697,-73.96413,private room,$0 ,2,245,12/20/2019,0.68,17,192
529,,lalsa,Sarah,Manhattan,Upper West Side,40.54907,-74.04327,PRIVATE ROOM,265,3,92,16/02/2012,9.13,1,106
515,Cozy apartment near park,35449,Sofia,The Bronx,Fordham,40.74787,-73.82777,Shared room,235,30,187,11/10/2019,0.84,2,211
922,Beautiful loft,92793,Lisa,bronx,Mott Haven,40.78789,-73.74222,Entire Home/Apt,149,5,95,9/1/2014,5.57,1,48
805,Beautiful loft,53751,Maria,Bronx,Fordham,40.77581,-74.02233,Private room,112,5,15,26/07/2016,1.04,7,262
206,Modern studio,28487,,staten island,Tompkinsville,40.78001,-73.80063,entire home/apt,100,jsakj,359,6/23/2019,9.36,20,323
772,Modern studio,4018,Maria, Queens,Ridgewood,40.59287,-73.76109,PRIVATE ROOM,227,7,364,8/5/2018,8.88,18,314
854,,73170,Lisa,brooklyn,Greenpoint,40.83959,-74.0411,private room,45,1000,390,9/22/2016,4.35,13,136
143,Beautiful loft,68425,Daniel,The Bronx,Mott Haven,40.82218,-73.87197,private room,135,365,143,3/11/2019,2.93,4,293
724,Cozy apartment near park,97396,Chris,Brooklyn,Williamsburg,40.56497,-73.84588,Private room,417,1000,151,21/09/2017,2.19,8,128
376,Quiet private room,36755,Anna,Brooklyn ,Kensington,40.6831,-74.055,entire home/apt,393,1,63,7/2/2016,1.81,19,86
306,,99665,Maria,manhattan,East Village,40.59448,-74.02768,Shared room,163,365,16,2/5/2016,9.34,14,78
186,,35003,Michael,queens,Long Island City,40.84293,-73.77599,private room,$490 ,7,338,11/5/2016,0.26,14,254
245,Beautiful loft,25102,Sofia,Brooklyn,Williamsburg,40.78417,-73.85785,Shared room,192,7,138,6/24/2018,5.21,1,230
601,Quiet private room,64353,Michael,BRONX,Riverdale,40.68356,-74.06013,entire home/apt,41,1000,241,5/14/2017,2.23,10,208
674,Modern studio,16765,David, Queens,Ridgewood,40.80531,-73.99485,entire home/apt,372,5,218,9/5/2011,2.28,18,234
527,Sunny room in the heart of NYC,82015,Anna,Manhattan,Upper West Side,40.60409,-73.87884,PRIVATE ROOM,420,5,104,1/2/2012,0.13,18,303
985,Sunny room in the heart of NYC,78872,Sofia,Staten island,St. George,40.62822,-73.8306,PRIVATE ROOM,365,1,347,9/21/2019,5.34,20,252
229,Modern studio,56769,Emma,Manhattan,East Village,40.71193,-74.00821,private room,$477 ,30,393,6/19/2017,9.08,5,356
850,Sunny room in the heart of NYC,89592,,Brooklyn ,Bushwick,40.78246,-73.85049,private room,236,7,392,11/10/2017,6.42,15,307
362,Cozy apartment near park,6535,John,Manhatan,East Village,40.86226,-74.0192,entire home/apt,253,3,69,26/05/2011,6.59,16,90
62,Quiet private room,15996,Michael,Staten Island,St. George,40.74973,-73.86585,Shared room,$63 ,5,195,5/15/2019,6.06,18,50
621,,14134,James,MANHATTAN,Upper West Side,40.86051,-73.97105,Shared room,223,1,322,6/1/2016,4.76,6,172
